,ticker,index,d_sameind,launch_order,CUSIP
594,IDHQ,S&P Intl Dev Hi Quality Ranking TR USD,0,,46138E21
595,IDLB,FTSE Developed ex US Low Beta Equal Weight Index,0,,46138E76
596,IDLV,S&P BMI Intl Dev Low Volatility TR USD,0,,46138E23
597,IDMO,S&P Momentum Developed ex-U.S. & South Korea LargeMidCap Index,0,,46138E22
598,IDNA,NYSE FactSet Global Genomics and Immuno Biopharma Index,0,,46435U19
599,IDOG,S-Network Intl Sec Dividend Dog NR USD,0,,00162Q71
600,IDRV,NYSE FactSet Global Autonomous Driving and Electric Vehicle Index,0,,46435U36
601,IDU,DJ US Utilities TR USD,0,,46428769
602,IDV,DJ EPAC Select Dividend TR USD,0,,46428844
603,IDX,MV Indonesia NR USD,0,,92189F83
604,IEFA,EAFE,1,2.0,46432F84
605,IEMG,MSCI EM IMI NR USD,0,,46434G10
606,IEO,DJ US Select Oil Explor&Prodtn TR USD,0,,46428885
607,IEUR,MSCI Europe Investable Market Index,0,,46434V73
608,IEUS,MSCI Europe Small Cap Index,0,,46428849
609,IEV,Europe,1,1.0,46428786
610,IEZ,DJ US Select Oil Equip&Svcs TR USD,0,,46428884
611,IFLY,Reality Shares Drone Index,0,,26924G80
612,IFRA,NYSE FactSet U.S. Infrastructure Index,0,,46435U71
613,IFV,Dorsey Wright International Focus Five Index,0,,33738R88
614,IGE,S&P North American Natural Resources TR,0,,46428737
615,IGF,S&P Global Infrastructure Index,1,2.0,46428837
616,IGM,S&P North American Technology TR,0,,46428754
617,IGN,S&P North American Tech Networking TR,0,,46428753
618,IGRO,Morningstar Global ex-US Dividend Growth Index,0,,46435G52
619,IGV,S&P North American Tech Software TR,0,,46428751
620,IHAK,NYSE FactSet Global Cyber Security Index,0,,46435U13
621,IHDG,WisdomTree International Hedged Dividend Growth Index,0,,97717X59
622,IHE,DJ US Select Pharms TR USD,0,,46428883
623,IHF,DJ US Select HC Providers TR USD,0,,46428882
624,IHI,DJ US Select Medical Equip TR USD,0,,46428881
625,IJH,S&P Midcap 400 Index,1,2.0,46428750
626,IJJ,S&P Midcap 400 Value Index,1,1.0,46428770
627,IJK,S&P Midcap 400 Growth Index,1,1.0,46428760
628,IJR,S&P SmallCap 600 Index,1,1.0,46428780
629,IJS,S&P Smallcap 600 Value Index,1,1.0,46428787
630,IJT,S&P Smallcap 600 Growth Index,1,1.0,46428788
631,ILF,S&P Latin America 40 TR,0,,46428739
632,IMTM,MSCI World ex USA Momentum Index,0,,46434V44
633,INCO,INDXX India Consumer TR USD,0,,19762B70
634,INDA,MSCI India NR USD,0,,46429B59
635,INDF,MSCI USA Industrials Diversified Multiple-Factor Capped Index,0,,46435G55
636,INDF,MSCI USA Industrials Diversified Multiple-Factor Capped Index,0,,30150564
637,INDY,IISL S&P/CNX Nifty TR INR,0,,46428952
638,INFR,RARE Global Infrastructure Index,0,,52468L70
639,INFR,RARE Global Infrastructure Index,0,,35473P44
640,INTF,MSCI World ex USA Diversified Multi-Factor Index,0,,46434V27
641,IOO,S&P Global 100 TR,0,,46428757
642,IPAC,MSCI Pacific Investable Market Index,0,,46434V69
643,IPAY,ISE Mobile Payments Index,0,,26924G40
