,index,yearqtr,diff_mkt_share,diff_tr_error_bps,diff_tr_difference_bps,diff_mer_bps,diff_turnover_frac,diff_logDvol,diff_tr_error_perc,diff_tr_difference_perc,diff_lend_byAUM_bps,diff_marketing_fee_bps,diff_vol_share,diff_urgency_mean,diff_spread_bps_etfg,diff_spread_bps_crsp,ix_urgency_mean,ix_urgency_median,ix_urgency_std,aum_index
0,All World,20161,-0.004462334000000012,1.5486628600000039,6.283255811999999,19.0,2.3215663250000005,0.6379738900000014,0.01548662900000003,0.062832559,-1.87642776,-0.5,0.3085906243554018,0.12773626921600467,-514.7050714,-0.21479830599999983,0.8928498433865664,0.7826592617965367,0.6665948197222804,10867635976.0
1,All World,20161,-0.004462334000000012,1.5486628600000039,6.283255811999999,19.0,2.3215663250000005,0.6379738900000014,0.01548662900000003,0.062832559,-1.87642776,-0.5,0.3085906243554018,0.12773626921600467,-514.7050714,-0.21479830599999983,0.8928498433865664,0.7826592617965367,0.6665948197222804,10867635976.0
2,All World,20162,-0.0024936939999999908,12.64078215,-0.124154406,19.0,3.064148959,0.8759259300000011,0.12640782099999998,-0.0012415450000000001,-1.87642776,-0.5,0.4119545257886256,0.09938941996397366,-4.82665439,-0.26256450899999995,0.90408574872899,0.7843516736768171,0.663660096459896,11039204043.0
3,All World,20162,-0.0024936939999999908,12.64078215,-0.124154406,19.0,3.064148959,0.8759259300000011,0.12640782099999998,-0.0012415450000000001,-1.87642776,-0.5,0.4119545257886256,0.09938941996397366,-4.82665439,-0.26256450899999995,0.90408574872899,0.7843516736768171,0.663660096459896,11039204043.0
4,All World,20163,-0.055391809999999986,11.062747280000004,4.669916669,19.0,3.889830303,1.2344542300000008,0.11062747300000003,0.046699166,-1.87642776,-0.5,0.5491944354722431,0.1312739817684737,-5.850895691,-0.4954773899999998,0.9030817394530534,0.8199759413033982,0.6382888625009839,11570023601.0
5,All World,20163,-0.055391809999999986,11.062747280000004,4.669916669,19.0,3.889830303,1.2344542300000008,0.11062747300000003,0.046699166,-1.87642776,-0.5,0.5491944354722431,0.1312739817684737,-5.850895691,-0.4954773899999998,0.9030817394530534,0.8199759413033982,0.6382888625009839,11570023601.0
6,All World,20164,-0.04880410799999996,0.07387851000000012,-2.1482426970000006,19.0,3.459198883,0.644181139999997,0.0007387859999999913,-0.021482427,-1.87642776,-0.5,0.3113960009597722,0.21063486866052505,-1.858705502,-0.574745077,0.9853005885940352,0.8652022051125059,1.311990172138471,12002873346.0
7,All World,20164,-0.04880410799999996,0.07387851000000012,-2.1482426970000006,19.0,3.459198883,0.644181139999997,0.0007387859999999913,-0.021482427,-1.87642776,-0.5,0.3113960009597722,0.21063486866052505,-1.858705502,-0.574745077,0.9853005885940352,0.8652022051125059,1.311990172138471,12002873346.0
8,All World,20171,-0.027235453999999992,0.3057800999999998,1.387948352,20.35,2.6473661280000003,0.690182870000001,0.003057800999999999,0.013879483000000001,-1.87642776,-0.5,0.33201521171826387,0.19046478296974134,-4.82952105,-0.012964201999999814,1.0226261714660991,0.8988106593660173,1.333810876497597,13337562030.0
9,All World,20171,-0.027235453999999992,0.3057800999999998,1.387948352,20.35,2.6473661280000003,0.690182870000001,0.003057800999999999,0.013879483000000001,-1.87642776,-0.5,0.33201521171826387,0.19046478296974134,-4.82952105,-0.012964201999999814,1.0226261714660991,0.8988106593660173,1.333810876497597,13337562030.0
10,All World,20172,-0.10328481599999995,9.48716627,-0.638967744,23.0,2.7598354410000003,0.5683672200000025,0.09487166200000002,-0.006389677,-1.87642776,-0.5,0.27677266877593254,0.20355164183366947,,0.04128766699999997,1.0169554916381216,0.8838813707030626,1.3223478634472452,15285976940.0
11,All World,20172,-0.10328481599999995,9.48716627,-0.638967744,23.0,2.7598354410000003,0.5683672200000025,0.09487166200000002,-0.006389677,-1.87642776,-0.5,0.27677266877593254,0.20355164183366947,,0.04128766699999997,1.0169554916381216,0.8838813707030626,1.3223478634472452,15285976940.0
12,All World,20173,-0.08210194399999998,-3.1884461799999997,0.5366977880000001,23.0,2.274649527,0.7177480500000009,-0.031884462,0.005366978,-1.87642776,-0.5,0.34422185940809646,0.14767051044860768,,-0.18294077600000014,0.9907696456527852,0.8867093070586186,0.7935788791274047,16813290879.0
13,All World,20173,-0.08210194399999998,-3.1884461799999997,0.5366977880000001,23.0,2.274649527,0.7177480500000009,-0.031884462,0.005366978,-1.87642776,-0.5,0.34422185940809646,0.14767051044860768,,-0.18294077600000014,0.9907696456527852,0.8867093070586186,0.7935788791274047,16813290879.0
14,All World,20174,-0.08322980999999996,1.3761518200000005,0.2059650770000001,23.0,3.736188682,1.019706150000001,0.013761518000000028,0.0020596510000000026,-1.87642776,-0.5,0.46983071419346184,0.2513025955476329,,0.03721864099999994,1.1019640442562333,0.9607681153601788,1.320151681043346,18979798032.0
15,All World,20174,-0.08322980999999996,1.3761518200000005,0.2059650770000001,23.0,3.736188682,1.019706150000001,0.013761518000000028,0.0020596510000000026,-1.87642776,-0.5,0.46983071419346184,0.2513025955476329,,0.03721864099999994,1.1019640442562333,0.9607681153601788,1.320151681043346,18979798032.0
16,All World,20181,-0.16477212599999996,10.03120474,3.6998321990000003,23.0,3.151621626,0.645760199999998,0.10031204700000002,0.036998322,-1.87642776,-0.5,0.3121087968400482,0.006378410732529094,-0.36238095199999965,0.04229757799999989,1.052296187748204,0.9641268880752394,0.7817129690231532,20419405890.0
