,mgrno,urgency
0,10930.0,0.4292232593796457
1,12116.0,0.18879263312103622
2,14166.0,0.14297175502034373
3,22088.0,0.6177681711806432
4,41450.0,0.47953278145521916
5,62890.0,0.6088175193919281
6,14369.0,1.2755032709943772
7,10736.0,0.16513628942373473
8,12222.0,0.9843588535191025
9,26363.0,0.8401954105370076
10,13331.0,0.6655171690807616
11,16210.0,0.4130245922389702
12,12302.0,0.007096197203579293
13,22921.0,1.2648519024928138
14,10733.0,0.7041820124723961
15,11641.0,0.5469742462761111
16,11902.0,1.0674855303187851
17,12488.0,0.6271255349309554
18,13785.0,1.524432947702414
19,13786.0,1.1209024897159785
20,14224.0,0.9132076195009586
21,26423.0,1.5649417463893969
22,28109.0,1.7758402601660053
23,8951.0,1.2599502262819198
24,14047.0,1.2591758529955006
25,14310.0,1.1310492084769825
26,14365.0,1.4728373774275625
27,43510.0,0.5383695111928426
28,11174.0,0.8988106593660173
29,11952.0,1.8293937906077136
30,41260.0,0.18226736392496154
31,81948.0,0.5666552137529388
32,14070.0,0.3817985621782506
33,14231.0,0.9540281716600385
34,26063.0,0.9315605270093802
35,28144.0,0.9449158150193011
36,10661.0,0.3165336979992517
37,12526.0,1.87148909061845
38,12660.0,1.2264359418772497
39,14520.0,3.194935815740068
40,26343.0,
41,28033.0,
42,28065.0,
43,28267.0,
44,37700.0,0.5972237005296223
45,8986.0,1.869270471750421
46,10765.0,0.640647101059505
47,11908.0,0.5077415980471297
48,12376.0,0.7826592617965367
49,13547.0,1.44859869879409
50,14593.0,
51,26157.0,
52,26225.0,1.5123925701246503
53,28059.0,
54,28072.0,
55,65390.0,0.29181235950510065
56,9606.0,1.0320231846629082
57,10461.0,1.3089445270598015
58,11676.0,0.9107312995037045
59,12260.0,1.4836905288310658
60,13088.0,0.16708165839591566
61,58950.0,0.6459687780804567
62,2470.0,0.5659937647499075
63,47605.0,0.8331320448932726
64,11751.0,0.5320113445110174
65,12371.0,1.0463727235585216
66,13610.0,0.8038374758447807
67,12994.0,0.008555712200342834
68,13634.0,1.830988027148512
69,8733.0,1.3969346964061908
70,13542.0,0.15632353296068124
71,29285.0,0.6361833117846346
72,12401.0,0.8753700281427109
