,index,fdate,ix_urgency_mean,ix_urgency_median,ix_urgency_min,ix_urgency_max,ix_urgency_std,ix_urgency_q25,ix_urgency_q75,d_sameind
0,ARK Israeli Innovation Index,20171231,0.35899235897210346,0.39145223030218895,0.0070961972035792,0.6459687780804567,0.3218340516874103,0.12562626636869584,0.6248183229055966,0
1,ARK Israeli Innovation Index,20180331,0.7288747565892165,0.6410760449325457,0.0070961972035792,1.453938547629519,0.3963272678143338,0.526992937906408,1.0127167938879396,0
2,ARK Israeli Innovation Index,20180630,0.712221317652241,0.631654423357795,0.0070961972035792,1.328411748199924,0.3574499742719007,0.5042397913335386,0.934357058558531,0
3,ARK Israeli Innovation Index,20180930,0.6224970237475266,0.5778958828340196,0.1651362894237347,1.2954397765762022,0.29927945186000926,0.4645010513375667,0.6714925083526416,0
4,ARK Israeli Innovation Index,20181231,0.6144736094479807,0.5735935152923853,0.1651362894237347,1.2954397765762022,0.3031350979476874,0.4192043001093012,0.6714925083526416,0
5,ARK Israeli Innovation Index,20190331,0.6417883904734999,0.5383695111928426,0.1651362894237347,1.2954397765762022,0.3518724694553513,0.41900273923399306,0.7368850999225494,0
6,ARK Israeli Innovation Index,20190630,0.6325280229438243,0.5383695111928426,0.1651362894237347,1.2954397765762022,0.34864201511128406,0.4194058609846094,0.6894185261682815,0
7,ARK Israeli Innovation Index,20190930,0.5834291743854804,0.5339524999809299,0.1651362894237347,1.2755032709943772,0.31894968355276193,0.41900273923399306,0.6463213520058585,0
8,ARK Israeli Innovation Index,20191231,0.6310483505284608,0.5736366365869283,0.1651362894237347,1.2954397765762022,0.33160426404771054,0.48286539060319034,0.6606300713306854,0
9,ARK Israeli Innovation Index,20200331,0.6654129132655184,0.6074959358551327,0.1651362894237347,1.2516467955319346,0.2997807938946369,0.5031355385305605,0.6834431868964015,0
10,Acquirers Deep Value Index,20180331,0.7848020282445872,0.4795327814552191,0.1651362894237347,3.194935815740068,0.828714665720327,0.2745611617058133,0.7656809863292353,0
11,Acquirers Deep Value Index,20180630,0.8734169810829502,0.6271255349309554,0.1651362894237347,3.194935815740068,0.8644913432641729,0.2860436801459496,1.0709661606986112,0
12,Acquirers Deep Value Index,20180930,0.8471176124154477,0.6177681711806432,0.1822673639249615,3.194935815740068,0.8424168444281018,0.3817985621782506,0.8853931945780139,0
13,Acquirers Deep Value Index,20181231,0.9915046041417825,0.6459687780804567,0.0527569247168382,4.582458999774205,1.0409826409214382,0.4055109107789482,1.148990101208521,0
14,Acquirers Deep Value Index,20190331,0.8334340802678936,0.6271255349309554,0.0527569247168382,3.194935815740068,0.7096379215864869,0.4130245922389702,1.0709661606986112,0
15,Acquirers Deep Value Index,20190630,0.877990619774667,0.7826592617965367,0.1651362894237347,3.194935815740068,0.6665909797800219,0.4543780204174324,1.090873356355006,0
16,Acquirers Deep Value Index,20190930,0.929306677948112,0.8346842844275777,0.1651362894237347,3.194935815740068,0.6894521515545795,0.4751807363174776,1.1398389244381582,0
17,Acquirers Deep Value Index,20200331,0.8186762210421609,0.6361833117846346,0.0527569247168382,3.194935815740068,0.7495809931848284,0.3368054608416756,1.0469744422442997,0
18,Acquirers Index,20190630,0.1651362894237347,0.1651362894237347,0.1651362894237347,0.1651362894237347,,0.1651362894237347,0.1651362894237347,0
19,Acquirers Index,20190930,0.5668087629489068,0.4795327814552191,0.1651362894237347,1.1439847528092628,0.3619598950899804,0.4276218198756744,0.6177681711806432,0
20,Acquirers Index,20191231,0.5886277583223287,0.5226949955281588,0.1651362894237347,1.1439847528092628,0.414141075573727,0.3620004372626895,0.7493223165877981,0
